match_id,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_xg,away_xg,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_possession,away_possession
1035079,8.0,13.0,1.0,4.0,0.34,1.02,4.0,9.0,4.0,4.0,26.0,74.0
1035106,3.0,23.0,1.0,8.0,0.47,0.87,3.0,12.0,0.0,11.0,32.0,68.0
1035099,23.0,9.0,5.0,2.0,2.9,0.89,16.0,8.0,7.0,1.0,68.0,32.0
1035105,20.0,16.0,9.0,2.0,2.14,1.07,17.0,11.0,3.0,5.0,52.0,48.0
1035104,24.0,12.0,8.0,4.0,2.23,1.31,10.0,9.0,14.0,3.0,65.0,35.0
1035103,6.0,18.0,1.0,5.0,0.46,1.66,5.0,15.0,1.0,3.0,41.0,59.0
1035100,10.0,11.0,3.0,4.0,1.09,1.7,9.0,8.0,1.0,3.0,56.0,44.0
1035051,18.0,14.0,3.0,4.0,1.34,1.11,15.0,7.0,3.0,7.0,49.0,51.0
1035113,12.0,15.0,2.0,4.0,0.76,1.96,8.0,10.0,4.0,5.0,33.0,67.0
1035114,21.0,11.0,8.0,3.0,1.43,0.95,14.0,6.0,7.0,5.0,64.0,36.0
1035112,20.0,5.0,6.0,2.0,2.21,0.57,9.0,3.0,11.0,2.0,60.0,40.0
1035132,13.0,10.0,3.0,1.0,0.64,1.12,8.0,4.0,5.0,6.0,24.0,76.0
1035131,17.0,7.0,2.0,5.0,2.03,2.16,12.0,7.0,5.0,0.0,69.0,31.0
1035127,13.0,6.0,6.0,3.0,1.11,0.83,8.0,3.0,5.0,3.0,44.0,56.0
1035128,13.0,2.0,8.0,0.0,2.77,0.03,10.0,0.0,3.0,2.0,67.0,33.0
1035136,11.0,13.0,6.0,5.0,0.89,2.19,6.0,11.0,5.0,2.0,43.0,57.0
1035135,12.0,10.0,2.0,4.0,0.66,0.82,8.0,6.0,4.0,4.0,64.0,36.0
1035133,21.0,9.0,8.0,1.0,3.19,0.45,10.0,7.0,11.0,2.0,73.0,27.0
1035130,18.0,10.0,7.0,5.0,1.43,0.71,10.0,5.0,8.0,5.0,71.0,29.0
1035129,17.0,7.0,6.0,1.0,2.28,0.48,13.0,5.0,4.0,2.0,71.0,29.0
1035134,7.0,21.0,3.0,10.0,0.95,4.0,6.0,12.0,1.0,9.0,40.0,60.0
1035053,,,,,,,,,,,50.0,50.0
1035049,,,,,,,,,,,55.0,45.0
1035056,,,,,,,,,,,46.0,54.0
1035050,,,,,,,,,,,65.0,35.0
1035054,,,,,,,,,,,56.0,44.0
1035060,,,,,,,,,,,78.0,22.0
1035061,,,,,,,,,,,57.0,43.0
1035066,,,,,,,,,,,21.0,79.0
1035065,,,,,,,,,,,60.0,40.0
1035074,,,,,,,,,,,39.0,61.0
1035076,,,,,,,,,,,45.0,55.0
1035070,,,,,,,,,,,46.0,54.0
1035071,,,,,,,,,,,76.0,24.0
1035075,,,,,,,,,,,68.0,32.0
